LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C7525447,BH-123A-A5BJ005,MYOUNG,,-,Battery Holder Cylindrical CR123A Cell,YES,4,1.3724,5.49,,,
C6119868,CGA0603X5R226M160JT,HRE,,0603,22uF ±20% 16V Ceramic Capacitor X5R 0603,YES,10,0.0388,0.39,,,
C2906976,FRC0603F1201TS,FOJAN,,0603,1.2kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.001,0.10,,,
C105588,RC0603FR-07100RL,YAGEO,,0603,100mW 100Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,
C100040,CC0603KRX7R9BB102,YAGEO,,0603,1nF ±10% 50V Ceramic Capacitor X7R 0603,YES,100,0.0022,0.22,,,
C2830320,FS8205A,TECH PUBLIC,,SOT-23-6,20V 9A 1.5W Surface Mount SOT-23-6,YES,10,0.0448,0.45,,,
C14675,RC0603FR-07100KL,YAGEO,,0603,100mW 100kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,
C114669,RC0603FR-07470RL,YAGEO,,0603,100mW 470Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0012,0.12,,,
C114659,RC0603FR-0712KL,YAGEO,,0603,12kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0012,0.12,,,
C2907044,FRC0603F5101TS,FOJAN,,0603,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,YES,100,0.001,0.10,,,
C2927799,DW01A,YONGYUTAI,,SOT-23-6,Battery Protection IC Lithium-ion/Polymer SOT-23-6,YES,20,0.026,0.52,,,
C725790,TP4056,"UMW(Youtai Semiconductor Co., Ltd.)",,ESOP-8,Lithium Battery 1A ESOP-8 Battery Management RoHS,YES,10,0.0659,0.66,,,
C92102,AZ1117CH-3.3TRG1,Diodes Incorporated,,SOT-223,Linear Voltage Regulator IC Positive Fixed 1 Output 1.35A SOT-223,YES,5,0.0751,0.38,,,
C12065,LTST-C193TGKT-5A,Lite-On,,0603,Emerald Green 525nm LED Indication - Discrete 2.8V 0603,YES,20,0.0295,0.59,,,
C125099,LTST-C191KRKT,Lite-On,,0603,Red 639nm LED Indication - Discrete 2V 0603,YES,50,0.0173,0.87,,,
C2976072,WS2812C-2020-V1,Worldsemi,,"SMD,2x2mm","SMD,2x2mm LED Addressable, Specialty RoHS",YES,5,0.0769,0.38,,,
C38151377,PTS636SM43JSMTRLFS,Littelfuse,,"SMD,6x3.5mm","12V 3.5mm Rectangular Button Surface Mount,Vertical 6mm SPST-NO 1.8N 50mA SMD,6x3.5mm Tactile Switches ",YES,5,0.308,1.54,,,
C2800116,OS102011MS2QN1C,C&K,,Through Hole,Slide Switch SPDT @ 12V Through Hole Rectangular Columnar,YES,5,0.7551,3.78,,,
